iter	RMSE
0	14.18706219
1	13.47332991
2	12.5962616
3	11.87639671
4	11.23771467
5	10.66708496
6	10.14581607
7	9.685382014
8	9.28223278
9	8.828825264
10	8.459063788
11	8.109222431
12	7.837209326
13	7.628329129
14	7.370852157
15	7.173140202
16	6.96601924
17	6.783854082
18	6.593395232
19	6.441690134
20	6.329158562
21	6.219535745
22	6.088682372
23	5.961889537
24	5.852291384
25	5.750488725
26	5.660946838
27	5.612290348
28	5.54529521
29	5.482339509
30	5.419799651
31	5.371043028
32	5.302639626
33	5.246976241
34	5.189587608
35	5.147626037
36	5.096907363
37	5.080065696
38	5.035480033
39	4.989486698
40	4.955962041
41	4.909626954
42	4.881317112
43	4.84067952
44	4.808004851
45	4.780992161
46	4.74410382
47	4.707067405
48	4.690485897
49	4.667193897
50	4.637407586
51	4.616420182
52	4.593693218
53	4.588135211
54	4.574887736
55	4.549518512
56	4.521173545
57	4.497689466
58	4.478816928
59	4.460233287
60	4.437440807
61	4.417051857
62	4.407908315
63	4.390735321
64	4.374737312
65	4.349531317
66	4.335746112
67	4.322546949
68	4.298973788
69	4.28948045
70	4.272828574
71	4.254173773
72	4.239654937
73	4.218495252
74	4.197095634
75	4.186961291
76	4.164383262
77	4.148508809
78	4.136137937
79	4.124327656
80	4.111328361
81	4.100700026
82	4.093402354
83	4.08705175
84	4.071674414
85	4.057464495
86	4.03829505
87	4.026122027
88	4.010547748
89	4.00388323
90	3.989954324
91	3.965527903
92	3.954995973
93	3.931925622
94	3.896055764
95	3.889853599
96	3.871691657
97	3.859242177
98	3.85100308
99	3.838482412
