iter	Passed	Remaining
0	1	119
1	2	139
2	3	128
3	5	130
4	6	128
5	9	145
6	10	139
7	12	143
8	13	140
9	14	134
10	16	130
11	17	127
12	18	123
13	19	118
14	20	115
15	21	111
16	22	109
17	23	106
18	24	104
19	25	101
20	26	99
21	27	97
22	28	95
23	29	93
24	30	92
25	32	91
26	33	90
27	34	88
28	35	86
29	36	84
30	37	83
31	38	82
32	40	82
33	41	80
34	42	79
35	43	77
36	44	75
37	45	74
38	46	72
39	47	71
40	48	69
41	48	67
42	50	66
43	51	65
44	52	64
45	53	62
46	54	61
47	55	60
48	56	59
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	66	45
59	67	44
60	69	44
61	70	42
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	109	1
99	110	0
